45,Columbus OH,40.061000,-82.760778,25.000000,615994.870525,-4849401.889036,4083186.798968
46,Punta Gorda FL,27.019667,-81.762028,25.000000,814705.853095,-5627246.896099,2880167.682813
47,Tracy City TN,35.197250,-85.666000,25.000000,394316.278384,-5202942.290402,3655784.542095
48,Kuparuk AK,70.317667,-148.941194,25.000000,-1845711.885618,-1111595.467825,5983090.760800
49,Gaffney SC,34.985306,-81.733083,25.000000,752193.087725,-5177021.080266,3636544.825899
50,Robbins CA,38.875000,-121.707055,25.000000,-2613200.785169,-4229967.552584,3981537.859446
51,Wise NC,36.470639,-78.173389,25.000000,1052451.936423,-5026140.370417,3770328.852138
52,Mandale NC,35.895361,-79.224889,25.000000,967084.956191,-5081628.751352,3718806.011823
53,Dumas TX,35.807972,-102.031861,25.000000,-1079489.826418,-5064749.923116,3710946.738252
54,Hamshire TX,29.859861,-94.312333,25.000000,-416272.558203,-5520354.720697,3156922.534965
55,Marcell MN,47.593167,-93.692528,25.000000,-277524.472971,-4300295.247347,4686506.802267
56,Molokai HI,21.109333,-157.063944,25.000000,-5482116.386187,-2319803.162008,2282700.381809
57,Honolulu HI,21.315000,-157.866417,25.000000,-5506436.261542,-2239692.469197,2303929.025427
58,Lockport NY,43.166556,-78.755111,25.000000,908582.748206,-4569884.380668,4341031.902035
59,Hillman MI,45.073250,-83.900417,25.000000,479414.601261,-4486304.357980,4493117.401272
60,Lawrence KS,39.013889,-95.149389,25.000000,-445387.276895,-4942346.849771,3993529.869497
61,Norcross GA,33.954972,-84.197972,25.000000,535387.585710,-5268937.609958,3542317.800094
62,Ft Lauderdale FL,26.190861,-80.193083,25.000000,975478.238954,-5643354.644308,2798062.134559
63,Broadview IL,41.854889,-87.858889,25.000000,177754.393952,-4754464.054926,4233627.928555
64,De Leon Springs FL,29.133000,-81.286000,25.000000,844731.134547,-5511335.727677,3086797.301662
65,St John's,47.560854,-52.775388,25.000000,2608441.908506,-3433431.751485,4684083.189858
66,Broken Hill NSW,-31.998258,141.441058,25.000000,-4233711.972077,3374763.457165,-3360279.994236
67,Toonpan QLD,-19.518612,146.873640,25.000000,-5036423.165901,3286505.730777,-2117552.142739
68,Willows QLD,-23.666677,147.502550,25.000000,-4929666.446709,3140235.453379,-2544523.539216
